word,frequency,PC1,PC2,cluster
កណ្ដាល,15.0,1.8516685,1.1652504,1
កណ្តាល,16.0,-0.78815055,0.5861074,0
កន្លែង,14.0,0.6586355,-0.35083708,1
កម្ពុជា,23.0,-1.1782677,1.8453166,0
កំពុង,10.0,0.39448428,0.47624937,1
កំពែង,12.0,-0.47306108,1.437627,0
ក៏,23.0,1.4426508,0.6333696,1
ក្នុង,65.0,-0.52370536,-2.005697,0
ក្បាច់,11.0,-1.0276246,-1.182354,0
ក្រុង,13.0,-1.0536544,1.2535111,0
ក្រុម,10.0,-0.89764893,0.44121417,0
ខាង,21.0,1.5058601,1.2624152,1
ខាងកើត,16.0,-2.4141552,-0.44346055,0
ខាងក្នុង,13.0,-1.0815375,3.4751313,0
ខាងក្រៅ,14.0,0.5023018,1.1682338,1
ខាងជើង,17.0,1.2234176,1.3744463,1
ខាងត្បូង,12.0,-1.9681075,2.5229466,0
ខាងលិច,28.0,-2.2330165,-0.17681348,0
ខេត្ត,46.0,-0.6856354,-0.7383759,0
ខ្ពស់,12.0,1.6900829,-1.5693737,1
ខ្មែរ,30.0,-1.1721107,0.5202249,0
ខ្លួន,13.0,1.9270213,-1.2921146,1
ខ្លះ,21.0,0.618106,-1.5468631,1
គឺ,48.0,0.40323424,1.1552436,1
គឺជា,22.0,-2.8485062,0.037459686,0
គេ,61.0,-1.2224826,0.060494002,0
គោ,12.0,-1.0173746,-0.65166,0
គ្នា,21.0,1.7295504,1.4971392,1
ឃើញ,10.0,2.5387309,-1.3394481,1
ចម្លាក់,22.0,0.35214582,-2.8697085,1
ចុង,10.0,-0.18973091,0.828298,1
ចូល,15.0,-0.56506115,0.49878776,0
ចេញ,15.0,1.0903088,0.07717781,1
ចំ,10.0,0.42180517,0.801093,1
ចំនួន,15.0,0.28559318,1.028764,0
ចំពោះ,11.0,-2.636853,0.77950126,0
ច្រក,11.0,-0.37337425,-1.0420713,0
ច្រើន,39.0,0.78592986,-0.3966129,1
ឆ្នាំ,39.0,1.5066509,0.7429205,1
ជញ្ជាំង,10.0,-0.76763815,-0.67194134,0
ជា,122.0,1.2048262,-1.4749538,1
ជាង,24.0,1.5489491,-0.6662057,1
ជាច្រើន,31.0,1.2961638,-1.1303843,1
ជាប់,11.0,-0.8228056,0.626364,0
ជាមួយ,18.0,0.3842191,1.2011098,1
ជុំវិញ,13.0,0.62307745,0.25787255,1
ឈើ,18.0,-1.1943138,0.22350854,0
ឈ្មោះ,37.0,1.6089199,-0.5682712,1
ដល់,16.0,0.078187406,1.5443727,1
ដី,13.0,0.62542105,-2.052947,1
ដូច,12.0,-0.0017904909,0.002266761,1
ដូចជា,21.0,0.8925957,-0.5170651,1
ដើម,20.0,-0.6622131,-0.024743939,0
ដើម្បី,33.0,-0.26936185,0.98360074,0
ដែរ,14.0,1.0266997,-0.054744963,1
ដែល,198.0,1.5623566,-0.14109331,1
ដោយ,79.0,-0.7399297,-0.51635486,0
ដំបូង,13.0,-0.4668409,-1.5425164,0
ដំបូល,12.0,-0.664945,0.91059506,0
ដ៏,27.0,0.8614955,-0.009222122,1
តាម,45.0,2.0571039,-1.4885222,1
តូច,10.0,1.3946733,-0.76648134,1
តែ,20.0,0.5254945,-0.9056695,1
តំណាង,13.0,-3.5889144,1.4932309,0
តំបន់,33.0,1.1464249,-0.22121853,1
ត្រូវបាន,92.0,0.17799927,1.0892026,0
ថា,92.0,2.3214653,0.76071686,1
ថែវ,35.0,-0.7086201,0.5817784,0
ថ្ងៃ,14.0,-1.3768349,1.146929,0
